STATE,FY_CLIPPED,STATE_YEAR_COAL_PRICE_MMBTU,STATE_YEAR_ELECTRICITY_PRICE_MMBTU,STATE_YEAR_NATURAL_GAS_PRICE_MMBTU,STATE_YEAR_PETROLEUM_PRICE_MMBTU,STATE_YEAR_TOTAL_PRICE_MMBTU,STATE_YEAR_ELEC_GAS_RATIO,CURRENT_PRICE_YEAR,CURRENT_COAL_PRICE_MMBTU,CURRENT_ELECTRICITY_PRICE_MMBTU,CURRENT_NATURAL_GAS_PRICE_MMBTU,CURRENT_PETROLEUM_PRICE_MMBTU,CURRENT_TOTAL_PRICE_MMBTU,CURRENT_ELEC_GAS_RATIO
CA,1998,1.78,19.02,3.55,5.53,6.37,5.357746478873239,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,1999,1.73,19.26,3.28,5.68,6.42,5.871951219512196,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,2000,1.66,20.94,5.53,7.09,8.25,3.786618444846293,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,2001,1.61,27.05,6.5,7.33,9.87,4.161538461538462,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,2002,1.64,28.75,4.84,7.33,8.4,5.9400826446281,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,2003,1.68,28.11,7.05,9.06,10.04,3.9872340425531916,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,2004,1.76,27.18,7.74,10.48,10.44,3.511627906976744,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,2005,2.12,27.98,9.62,12.46,12.25,2.9085239085239087,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,2006,2.39,29.57,9.09,14.76,12.83,3.253025302530253,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,2007,2.81,29.26,8.81,15.18,12.67,3.321225879682179,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,2008,2.96,29.56,10.51,19.81,14.8,2.8125594671741196,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,2009,2.95,30.54,6.39,18.52,11.95,4.779342723004695,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,2010,3.41,28.72,6.87,23.31,13.0,4.180494905385735,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,2011,3.64,29.62,6.91,26.69,14.15,4.286541244573082,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,2012,3.54,30.75,5.66,27.35,13.29,5.43286219081272,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,2013,3.67,33.52,6.4,26.74,14.51,5.2375,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,2014,3.63,36.16,7.44,26.25,15.32,4.86021505376344,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,2015,3.57,35.65,6.18,19.99,13.4,5.768608414239482,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,2016,3.38,34.94,6.56,17.37,12.86,5.326219512195122,2024,5.14,63.09,11.06,29.01,,5.704339963833635
CA,2017,3.78,37.31,6.81,19.35,13.65,5.478707782672541,2024,5.14,63.09,11.06,29.01,,5.704339963833635
