ARC,ARC_2DIGIT,impl_rate,n_recs,median_benchmark_energy,median_benchmark_dollar,median_technical_total,median_real_historical_value,median_state_year_standardized_value,median_current_value,sector_mode,primary_source_group_mode,primary_fuel_bucket_mode
2.2163,2.2,0.4782608695652174,161,266.0,1533.0,266.0,2014.0,1559.3,1974.02060848,Unknown,natural_gas,steam_or_thermal
2.2523,2.2,0.4722222222222222,144,169.85789,2804.0,172.616492,3210.4,2270.7995684199996,3530.37374432,Unknown,electricity,electricity
2.2424,2.2,0.2,140,2322.5,14252.0,2322.5,17183.62875255373,14963.49,17571.5,Metal/Machinery/Electronics,natural_gas,steam_or_thermal
2.2123,2.2,0.5681818181818182,132,105.95,682.0,105.95,811.1494106758716,702.6400000000001,932.61,Unknown,natural_gas,steam_or_thermal
2.2426,2.2,0.21774193548387097,124,1368.499662,7924.5,1368.499662,10060.445287817598,9223.205000000002,9697.380000000001,Unknown,natural_gas,steam_or_thermal
2.2425,2.2,0.18699186991869918,123,1622.0,10400.0,1566.0,11396.0,11309.119999999999,11309.119999999999,Unknown,natural_gas,steam_or_thermal
2.2612,2.2,0.28688524590163933,122,499.342788,8739.0,499.342788,10506.539906226757,8502.399956680001,15073.25564142,Unknown,electricity,electricity
2.2492,2.2,0.1592920353982301,113,1651.0,12003.0,1653.0,13639.0,12726.56,14813.61992352,Unknown,natural_gas,steam_or_thermal
2.2522,2.2,0.4247787610619469,113,191.000348,2460.0,191.000348,3113.0,2272.09399368,2832.6007736,Unknown,electricity,electricity
2.2427,2.2,0.25225225225225223,111,1421.0,9563.0,1421.0,10592.0,9232.44,12330.45,Unknown,natural_gas,steam_or_thermal
2.2447,2.2,0.2980769230769231,104,1195.5,9179.5,1195.5,10257.0,7925.556502312,10476.08,Unknown,natural_gas,steam_or_thermal
2.2691,2.2,0.3854166666666667,96,322.71514880000007,6064.0,322.71514880000007,6973.806749972928,6422.987281739999,8794.53590848,Unknown,electricity,electricity
2.2532,2.2,0.4788732394366197,71,370.0,2531.0,338.001424,2653.0,1717.9800000000002,2902.2028516799996,Unknown,natural_gas,steam_or_thermal
2.2314,2.2,0.17142857142857143,70,1611.6912,26340.5,1675.4786364,28264.733922528703,20805.735,19956.06475176,Metal/Machinery/Electronics,natural_gas,steam_or_thermal
2.2623,2.2,0.42857142857142855,70,214.122619,3968.5,214.122619,4139.320450642781,4449.82135988,5375.8978454200005,Unknown,electricity,electricity
2.2692,2.2,0.171875,64,712.3130040000001,16501.0,712.3130040000001,19244.5897451648,14419.012130760002,15413.68625248,Chemical/Plastics/Paper/Rubber,electricity,electricity
2.2711,2.2,0.4032258064516129,62,226.401806,2322.5,231.500468,2322.5,2222.5253700576,3271.1807944800003,Unknown,electricity,electricity
2.2212,2.2,0.4482758620689655,58,384.0,4166.0,341.0,4332.983508000614,3268.3296535599998,3323.78642464,Unknown,natural_gas,steam_or_thermal
2.2694,2.2,0.44642857142857145,56,213.12375600000001,2829.5,213.12375600000001,3798.5,3339.28096524,5109.457648560001,Unknown,electricity,electricity
2.2611,2.2,0.37037037037037035,54,204.39586,3033.475,204.39586,3157.0,4197.8039116360005,5508.1014663999995,Unknown,electricity,electricity
2.2223,2.2,0.5094339622641509,53,297.000952,3642.0,308.15,3892.0,2430.36,3981.52,Unknown,natural_gas,steam_or_thermal
2.2153,2.2,0.5490196078431373,51,431.0,2610.0,431.0,2883.3613804075144,2019.3700000000001,3389.35,Unknown,natural_gas,steam_or_thermal
2.2422,2.2,0.24,50,3409.5,15511.5,3409.5,19879.038050896103,16077.805,22657.266856000002,Unknown,natural_gas,steam_or_thermal
2.2162,2.2,0.325,40,1436.0,10550.5,1436.0,10990.756560613732,9758.406675440001,12994.73,Chemical/Plastics/Paper/Rubber,natural_gas,steam_or_thermal
2.2428,2.2,0.3076923076923077,39,1732.0,7910.0,1732.0,10651.0,5754.360000000001,8772.45,Unknown,natural_gas,steam_or_thermal
2.2491,2.2,0.18421052631578946,38,693.0,3405.5,693.0,3779.082963654164,3190.735,5514.545,Unknown,natural_gas,steam_or_thermal
2.2626,2.2,0.3055555555555556,36,414.69959800000004,6816.0,414.69959800000004,8779.487491243342,6522.344227,9119.07893392,Food/Beverage/Tobacco,electricity,electricity
2.2696,2.2,0.3235294117647059,34,284.89347,6124.5,284.89347,6124.5,5081.11416456,6610.5742820000005,Food/Beverage/Tobacco,electricity,electricity
2.2111,2.2,0.3870967741935484,31,433.5,1932.0,433.5,2051.0,1869.66,3162.51,Unknown,natural_gas,steam_or_thermal
2.2312,2.2,0.3333333333333333,24,438.103784,3530.0,485.2,4619.697374675512,4963.44588104,5281.26348348,Metal/Machinery/Electronics,natural_gas,steam_or_thermal
2.2127,2.2,0.4090909090909091,22,3414.5,16785.5,3414.5,18886.998445707988,17322.93,16085.575,Chemical/Plastics/Paper/Rubber,natural_gas,steam_or_thermal
2.2128,2.2,0.5,22,1310.0,19057.5,1310.0,19057.5,9564.51,8775.235,Food/Beverage/Tobacco,natural_gas,steam_or_thermal
2.2221,2.2,0.14285714285714285,21,288.276468,7697.0,495.67830000000004,7697.0,3551.5660857599996,5583.91518516,Unknown,electricity,electricity
2.2524,2.2,0.3,20,586.663566,5563.0,586.663566,6181.625,6186.7525392,9569.41953328,Metal/Machinery/Electronics,natural_gas,steam_or_thermal
2.2533,2.2,0.3,20,261.34605999999997,2540.0550000000003,261.34605999999997,3040.1582036481923,2517.51205896,2354.5756413,Metal/Machinery/Electronics,natural_gas,steam_or_thermal
2.2191,2.2,0.21052631578947367,19,4630.0,16158.0,4630.0,16158.0,16320.000000000002,21761.0,Unknown,natural_gas,steam_or_thermal
2.2525,2.2,0.3157894736842105,19,486.0,8129.0,486.0,8336.0,6092.46733648,8736.002912,Unknown,electricity,electricity
2.2421,2.2,0.2777777777777778,18,6127.612932,63488.0,6753.725168,67039.43777930317,57243.701328,88872.3,Chemical/Plastics/Paper/Rubber,natural_gas,steam_or_thermal
2.2615,2.2,0.7222222222222222,18,309.036782,4288.5,309.036782,4288.5,5844.592258120001,6426.897689640001,Metal/Machinery/Electronics,electricity,electricity
2.2693,2.2,0.058823529411764705,17,1495.6614596,28169.0,1495.6614596,31366.744705779445,32956.71729208,47034.121927680004,Unknown,electricity,electricity
2.2521,2.2,0.5625,16,218.93504000000001,1708.5,218.93504000000001,2001.059728590094,2178.17508632,3481.0196464,Unknown,electricity,steam_or_thermal
2.2311,2.2,0.26666666666666666,15,424.7946824,3094.0,424.7946824,3282.8374733343876,3944.82,3919.8,Unknown,natural_gas,steam_or_thermal
2.2124,2.2,0.5,14,2874.5,18499.5,2874.5,18499.5,17292.345,16247.2,Chemical/Plastics/Paper/Rubber,natural_gas,steam_or_thermal
2.2624,2.2,0.21428571428571427,14,822.878864,14138.0,822.878864,15159.0,12649.64856116,20867.95533244,Unknown,electricity,electricity
2.2164,2.2,0.6666666666666666,12,108.500156,876.0,108.500156,916.5,963.6169219200001,1015.51949468,Unknown,natural_gas,steam_or_thermal
2.2222,2.2,0.3333333333333333,12,96.19792799999999,3611.0,376.5,5225.157712915712,2283.54353296,2582.52192992,Food/Beverage/Tobacco,natural_gas,steam_or_thermal
2.2114,2.2,0.6363636363636364,11,608.0,3630.0,608.0,4384.393772963724,2170.56,5000.8,Unknown,natural_gas,steam_or_thermal
2.3131,2.3,0.3281573498964803,966,2.7586019999999998,5966.5,2.7932338000000003,6427.32,50.88588901200001,65.14092134399999,Metal/Machinery/Electronics,electricity,electricity
2.3212,2.3,0.3572961373390558,932,4.621554,8390.5,4.621554,9196.5,76.9270373,94.3629544,Metal/Machinery/Electronics,electricity,electricity
2.3132,2.3,0.40896358543417366,357,0.75173184,2231.0,0.75173184,2390.9549963144627,15.443446262400002,20.739552662400005,Metal/Machinery/Electronics,electricity,electricity
2.3191,2.3,0.35691318327974275,311,4.0944,8582.0,4.510664,9270.0,69.21910752000001,97.93804800000001,Unknown,electricity,electricity
2.3415,2.3,0.1213235294117647,272,0.0,170474.5,11794.95986,195635.48871057515,207629.87643200002,323349.2460543,Unknown,electricity,electricity
2.3137,2.3,0.40384615384615385,104,3.2562422,10565.5,3.3608200000000004,12500.502103920944,73.29596984,96.95062202400001,Unknown,electricity,electricity
2.3134,2.3,0.2696629213483146,89,2.088144,5404.0,2.088144,6553.547466106358,33.06883104,50.66608456,Unknown,electricity,electricity
