ARC,ARC_2DIGIT,n_recs,energy_frac_q75,energy_frac_q90,value_frac_q75,value_frac_q90,energy_p25,energy_median,energy_p75,current_value_median,benchmark_dollar_median,payback_median,impl_rate_hist
2.2123,2.2,132,0.006402991235282171,0.018018610240092756,0.005941935083984085,0.020903139348436243,57.8,105.95,251.7,932.61,682.0,0.79513768867381,0.5681818181818182
2.2124,2.2,14,0.13148750453822045,0.17538625810892594,0.06098810299841048,0.13322062428368991,1380.25,2874.5,5528.75,16247.2,18499.5,1.4,0.5
2.2127,2.2,22,0.026666116411473265,0.04594342745765509,0.01711811238881704,0.04691970957404107,1402.74,3414.5,4713.079057749999,16085.575,16785.5,0.81,0.4090909090909091
2.2128,2.2,22,0.03529355334451277,0.08019504501521185,0.03617972330185268,0.07084716837800273,347.5,1310.0,7495.75,8775.235,19057.5,0.42051282051282,0.5
2.2135,2.2,850,0.02996732377197608,0.07463870826875721,0.021827487124962432,0.061476584631415844,241.525,706.35,2119.75,4534.35,3914.5,0.15,0.7764705882352941
2.2136,2.2,1540,0.022107991359034913,0.055928204744426634,0.017192947241568564,0.04656662657614476,92.0,293.0,784.0,2004.1754999999998,1598.0,0.6092258748674451,0.575974025974026
2.2153,2.2,51,0.019960336472896696,0.057953927883001445,0.018789485997190755,0.04343489212179884,178.0,431.0,923.0,3389.35,2610.0,0.462096403978575,0.5490196078431373
2.2162,2.2,40,0.07115384251412776,0.12986518799746294,0.043437119918270935,0.09218242826740569,759.78416,1436.0,3306.75,12994.73,10550.5,0.4983502445434,0.325
2.2163,2.2,161,0.018413034620527367,0.03991412152950835,0.01388536776525724,0.03364772924188752,136.0,266.0,1121.0,1974.02060848,1533.0,0.45209903121636,0.4782608695652174
2.2164,2.2,12,0.021908268890651027,0.07083525473982157,0.017372828778824127,0.09759649853674468,60.142887,108.500156,766.25,1015.51949468,876.0,1.0,0.6666666666666666
2.2191,2.2,19,0.10594077232225116,0.31499909264113196,0.0874901175430013,0.219187758589396,778.0,4630.0,13243.0,21761.0,16158.0,1.039158037552775,0.21052631578947367
2.2211,2.2,186,0.050263803187305715,0.10501944585333534,0.03986357641317728,0.09515363729835315,79.74874,408.31056,1316.5,5020.4400000000005,5076.5,0.32786885245902,0.46774193548387094
2.2212,2.2,57,0.06690389704263336,0.11929688538387642,0.047080047105852105,0.12769475638244204,135.0,348.0,1029.0,3403.6,4111.0,0.37876273170391,0.45614035087719296
2.2221,2.2,21,0.03829146881384361,0.07447038171585263,0.06691254213162585,0.16231890610243735,90.0,492.99988,1500.0,5520.46836276,7697.0,1.2104283054004,0.14285714285714285
2.2222,2.2,12,0.04264419115613395,0.06393202575127215,0.021004829324561547,0.039066809952807244,59.598963999999995,376.5,1074.75,2582.52192992,3611.0,2.457264957265,0.3333333333333333
2.2223,2.2,53,0.032689782514511,0.06951028224550478,0.026864151658532193,0.0496859505782506,140.001184,308.15,1224.004,3981.52,3642.0,0.49278579356271,0.5094339622641509
2.2311,2.2,15,0.022018513562205577,0.04897906448797301,0.02070941995754904,0.0405970298493409,95.1618,424.115012,2718.3,3919.8,3094.0,1.1246361471289,0.26666666666666666
2.2312,2.2,24,0.030741612173330865,0.10043899878861882,0.022886785166089867,0.06261900290658004,177.412911,485.2,2432.75,5281.26348348,3530.0,0.497416719044625,0.3333333333333333
2.2314,2.2,71,0.09532775479986222,0.1795240713955416,0.10985597210237302,0.20253593692979746,832.669598,1621.3824,4811.0,19567.103808,25453.0,1.56,0.16901408450704225
2.2414,2.2,1884,0.06340019624876457,0.12028915156311801,0.04978991502933871,0.11195193744118576,716.0,1679.5,4670.325,10712.515,9163.5,1.3974915092134,0.18842887473460723
2.2421,2.2,18,0.05466365338573146,0.10649888591558088,0.08678159761011157,0.22953457249056666,2332.475,6748.73,13113.912,88872.3,63488.0,3.6718041704442,0.2777777777777778
2.2422,2.2,50,0.12582209085055784,0.1893308426007311,0.13730435612610004,0.338839782434203,1109.000285,3409.5,12409.75,22657.266856000002,15511.5,1.4614494887540999,0.24
2.2424,2.2,139,0.06830669960629229,0.1338094334866167,0.07004363036964234,0.15684206774935816,751.509936,2340.0,7346.25,18161.99,14148.0,1.1214028675629,0.19424460431654678
